timestamp,iso_timestamp,topic,message_type,device_id,group_id,status,temperature,device_active,led_blinking,buzzer_active,wifi_rssi,raw_message
1759339935.143807,2025-10-01T14:32:15.143807,smartpatio/status/SIM02,status,SIM02,SmartPatio,CONNECTED,,,,,,SmartPatio|SIM02|CONNECTED
1759339936.016316,2025-10-01T14:32:16.016316,smartpatio/status/SIM01,status,SIM01,SmartPatio,CONNECTED,,,,,,SmartPatio|SIM01|CONNECTED
1759339938.501836,2025-10-01T14:32:18.501836,smartpatio/status/SIM03,status,SIM03,SmartPatio,CONNECTED,,,,,,SmartPatio|SIM03|CONNECTED
1759339938.523734,2025-10-01T14:32:18.523734,smartpatio/telemetry/SIM01,telemetry,SIM01,SmartPatio,,,False,False,False,-47,"{""device_id"": ""SIM01"", ""timestamp"": 1759339938321, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -47}"
1759339939.731823,2025-10-01T14:32:19.731823,smartpatio/telemetry/SIM02,telemetry,SIM02,SmartPatio,,,False,False,False,-57,"{""device_id"": ""SIM02"", ""timestamp"": 1759339939530, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -57}"
1759339940.927038,2025-10-01T14:32:20.927038,smartpatio/telemetry/SIM03,telemetry,SIM03,SmartPatio,,,False,False,False,-49,"{""device_id"": ""SIM03"", ""timestamp"": 1759339940730, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -49}"
1759339943.524678,2025-10-01T14:32:23.524678,smartpatio/telemetry/SIM01,telemetry,SIM01,SmartPatio,,,False,False,False,-46,"{""device_id"": ""SIM01"", ""timestamp"": 1759339943322, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -46}"
1759339944.732745,2025-10-01T14:32:24.732745,smartpatio/telemetry/SIM02,telemetry,SIM02,SmartPatio,,,False,False,False,-52,"{""device_id"": ""SIM02"", ""timestamp"": 1759339944530, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -52}"
1759339945.92815,2025-10-01T14:32:25.928150,smartpatio/telemetry/SIM03,telemetry,SIM03,SmartPatio,,,False,False,False,-49,"{""device_id"": ""SIM03"", ""timestamp"": 1759339945731, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -49}"
1759339948.52519,2025-10-01T14:32:28.525190,smartpatio/telemetry/SIM01,telemetry,SIM01,SmartPatio,,,False,False,False,-48,"{""device_id"": ""SIM01"", ""timestamp"": 1759339948322, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -48}"
1759339949.735867,2025-10-01T14:32:29.735867,smartpatio/telemetry/SIM02,telemetry,SIM02,SmartPatio,,,False,False,False,-54,"{""device_id"": ""SIM02"", ""timestamp"": 1759339949531, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -54}"
1759339950.92856,2025-10-01T14:32:30.928560,smartpatio/telemetry/SIM03,telemetry,SIM03,SmartPatio,,,False,False,False,-51,"{""device_id"": ""SIM03"", ""timestamp"": 1759339950732, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -51}"
1759339953.525693,2025-10-01T14:32:33.525693,smartpatio/telemetry/SIM01,telemetry,SIM01,SmartPatio,,,False,False,False,-43,"{""device_id"": ""SIM01"", ""timestamp"": 1759339953323, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -43}"
1759339954.733716,2025-10-01T14:32:34.733716,smartpatio/telemetry/SIM02,telemetry,SIM02,SmartPatio,,,False,False,False,-56,"{""device_id"": ""SIM02"", ""timestamp"": 1759339954531, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -56}"
1759339955.929695,2025-10-01T14:32:35.929695,smartpatio/telemetry/SIM03,telemetry,SIM03,SmartPatio,,,False,False,False,-52,"{""device_id"": ""SIM03"", ""timestamp"": 1759339955733, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -52}"
1759339958.526279,2025-10-01T14:32:38.526279,smartpatio/telemetry/SIM01,telemetry,SIM01,SmartPatio,,,False,False,False,-42,"{""device_id"": ""SIM01"", ""timestamp"": 1759339958324, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -42}"
1759339959.734315,2025-10-01T14:32:39.734315,smartpatio/telemetry/SIM02,telemetry,SIM02,SmartPatio,,,False,False,False,-53,"{""device_id"": ""SIM02"", ""timestamp"": 1759339959532, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -53}"
1759339960.930576,2025-10-01T14:32:40.930576,smartpatio/telemetry/SIM03,telemetry,SIM03,SmartPatio,,,False,False,False,-48,"{""device_id"": ""SIM03"", ""timestamp"": 1759339960734, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -48}"
1759339963.527196,2025-10-01T14:32:43.527196,smartpatio/telemetry/SIM01,telemetry,SIM01,SmartPatio,,,False,False,False,-42,"{""device_id"": ""SIM01"", ""timestamp"": 1759339963324, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -42}"
1759339964.735359,2025-10-01T14:32:44.735359,smartpatio/telemetry/SIM02,telemetry,SIM02,SmartPatio,,,False,False,False,-53,"{""device_id"": ""SIM02"", ""timestamp"": 1759339964533, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -53}"
1759339965.931024,2025-10-01T14:32:45.931024,smartpatio/telemetry/SIM03,telemetry,SIM03,SmartPatio,,,False,False,False,-43,"{""device_id"": ""SIM03"", ""timestamp"": 1759339965734, ""device_active"": false, ""led_blinking"": false, ""buzzer_active"": false, ""wifi_rssi"": -43}"
1759339967.534171,2025-10-01T14:32:47.534171,smartpatio/status/SIM01,status,SIM01,SmartPatio,DISCONNECTED,,,,,,SmartPatio|SIM01|DISCONNECTED
